ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DCD,1.124649536,-26.66629988,4.747604711,-5.616790256,1.95E-08,1.06E-07
C4orf40,2257.009196,-15.00606514,0.988646462,-15.17839362,4.92E-52,4.24E-49
SMR3B,6770.024789,-13.37461051,1.502285209,-8.902843771,5.44E-19,1.16E-17
C20orf70,592.1326439,-12.78281023,1.327563491,-9.628775056,6.04E-22,1.89E-20
HTN3,499.7881403,-12.5903352,1.224594672,-10.2812265,8.56E-25,3.71E-23
LACRT,2.582523267,-12.34043659,3.0218791,-4.083696331,4.43E-05,0.000140093
HTN1,627.9296254,-12.27390018,1.02488336,-11.97589956,4.75E-33,5.12E-31
PRH2,2937.562253,-11.53195015,0.445033233,-25.91255956,4.81E-148,4.77E-144
PRB4,75.03878976,-11.33014328,0.923457108,-12.26926858,1.32E-34,1.76E-32
STATH,35189.27016,-11.28917651,0.948992291,-11.89596229,1.24E-32,1.27E-30
PRB3,1906.2452,-11.04707644,0.561584548,-19.67126139,3.80E-86,1.51E-82
SMR3A,99.37426336,-10.97010855,1.605674246,-6.832088499,8.37E-12,7.20E-11
CST5,52.12144466,-10.79351749,0.927143253,-11.6416934,2.53E-31,2.21E-29
LPO,1039.568977,-10.6137311,0.651666575,-16.28705768,1.22E-59,1.73E-56
AMY1A,995.392764,-9.976896857,0.476897608,-20.92041705,3.49E-97,2.31E-93
PROL1,21.60509778,-9.948161613,1.332425673,-7.46620379,8.25E-14,9.11E-13
KRTAP13-1,14.11343555,-9.792563192,1.376057672,-7.116390096,1.11E-12,1.07E-11
CSN3,104.3747687,-9.736130449,1.10947888,-8.77540855,1.70E-18,3.43E-17
KRTAP3-3,19.68637951,-9.258346807,1.187730042,-7.794992531,6.44E-15,8.23E-14
PIP,3417.064153,-9.18509902,1.12434882,-8.169261047,3.10E-16,4.65E-15
FAM55D,51.08360001,-8.9729865,0.62845006,-14.27796267,3.00E-46,1.75E-43
KRT36,1196.975059,-8.896467479,0.669753609,-13.28319453,2.90E-40,8.71E-38
CST2,274.3255823,-8.753970057,0.547695876,-15.98326816,1.67E-57,1.95E-54
UGT2B28,7.074749156,-8.531574262,1.057294215,-8.069252759,7.07E-16,1.01E-14
PRR4,6170.696643,-8.515525886,0.452306309,-18.82690053,4.55E-79,1.50E-75
PRH1,1584.28544,-8.362833904,0.294752375,-28.37240553,4.43E-177,8.79E-173
CST4,529.0178283,-8.007656309,0.566188129,-14.14310173,2.06E-45,1.10E-42
MUC7,37656.72987,-7.764840475,1.136189318,-6.834107974,8.25E-12,7.10E-11
ZG16B,24289.75982,-7.760347807,0.638049909,-12.1626031,4.92E-34,6.06E-32
UGT2B11,5.321536894,-7.559743023,1.64133013,-4.605863795,4.11E-06,1.55E-05
KLK1,1700.836038,-7.525971875,0.368824091,-20.40531534,1.50E-92,7.44E-89
KRTAP3-2,28.30372625,-7.45557179,0.813578374,-9.163925727,5.00E-20,1.23E-18
C20orf85,7.563099279,-7.443603553,0.977349594,-7.61611157,2.61E-14,3.04E-13
LOC93432,3.862574233,-7.362392812,0.943869184,-7.800225851,6.18E-15,7.93E-14
MYOC,103.8145471,-7.336345663,0.715629332,-10.2516,1.16E-24,4.91E-23
LOC100124692,15.26522699,-7.205921439,0.744610523,-9.677437013,3.76E-22,1.20E-20
C20orf114,12158.54806,-7.070053963,0.901238433,-7.844820757,4.34E-15,5.68E-14
TEKT1,3.389561237,-7.027987612,0.814689768,-8.626581416,6.32E-18,1.18E-16
CA6,87.85277041,-6.914875245,0.590532481,-11.70955954,1.14E-31,1.03E-29
THRSP,35.73818707,-6.909458257,0.534884605,-12.91766148,3.58E-38,7.32E-36
KRTAP13-2,37.85263013,-6.878812667,1.114058296,-6.174553605,6.64E-10,4.45E-09
CSN2,4.149224159,-6.8398213,1.022118543,-6.691808253,2.20E-11,1.81E-10
FABP7,104.1850436,-6.820938351,0.470811278,-14.48762736,1.45E-47,9.59E-45
AMY2A,14.96063525,-6.810142582,0.522082419,-13.0441906,6.86E-39,1.70E-36
C6orf58,977.8793745,-6.755199532,0.916618686,-7.369694328,1.71E-13,1.82E-12
KRT85,40.1974562,-6.605442563,0.539996922,-12.23237078,2.09E-34,2.65E-32
EDN3,129.1749428,-6.596595615,0.591252482,-11.15698593,6.62E-29,4.39E-27
CRISP3,2802.191591,-6.521534087,0.646371298,-10.08945494,6.15E-24,2.39E-22
CFTR,183.5553183,-6.505077486,0.578540284,-11.24394907,2.48E-29,1.71E-27
CLCNKB,66.99064477,-6.463154041,0.498969064,-12.95301553,2.26E-38,4.87E-36
C10orf129,1.291316741,-6.389221856,1.242169709,-5.14359818,2.70E-07,1.23E-06
CALML6,61.90096665,-6.313182677,0.530023387,-11.91113983,1.04E-32,1.08E-30
C9orf135,6.871570885,-6.283297319,0.979587129,-6.41423017,1.42E-10,1.05E-09
TMEM213,129.7288974,-6.248779245,0.966477817,-6.465517506,1.01E-10,7.63E-10
CYP2F1,40.18665183,-6.218580812,0.743931313,-8.359079266,6.32E-17,1.04E-15
LRRC26,66.60772318,-6.215651516,0.62873738,-9.885926478,4.79E-23,1.69E-21
MRAP,3.284417642,-6.211778644,1.017709066,-6.103688028,1.04E-09,6.80E-09
